page_month_slug,status,body_props_replaced,showtags_flipped_to_yes,metadata_occurrences_preserved
01/2025-automotive-loyalty-awards-winners,OK,3,0,
01/2025-automotive-sales-data-global-trends,OK,10,0,
01/2026-automotive-supplier-outlook,OK,1,0,
01/automotive-market-trends-2026,OK,2,0,
01/cam-international-market-navigates-shifting-ev-supply-and-demand,OK,6,0,
01/ces-2026-spotlights-automotive-technology,OK,1,1,
01/five-predictions-2026-automotive-industry-outlook,OK,1,0,
01/mobility-pulse-360-launch-announcement,OK,3,0,jcr:title;imageAlt
01/nada-show-2026-preview-transforming-macro-trends-local-market-intelligence,OK,5,0,
01/reinventing-the-truck-energy-transition-in-trucking,OK,3,0,
01/renault-group-global-sales-rise,OK,1,0,
01/scaling-software-defined-vehicles,OK,4,0,
01/where-automotive-data-meets-human-expertise,OK,6,0,jcr:description
02/commercial-vehicle-market-outlook-sees-steady-gains,OK,1,1,
02/formula-1-2026-regulations-and-growth-in-popularity,OK,2,0,
02/light-vehicle-powertrain-outlook-2026,OK,0,0,
02/light-vehicle-powertrain-outlook-20261,OK,3,1,
02/loyalty-of-full-size-pickup-households,OK,4,0,
02/loyalty-of-full-size-pickup-households1,OK,4,1,jcr:description
02/mainland-china-dram-push,OK,1,0,
02/mainland-china-dram-push1,OK,1,0,
02/mobility-global-announces-new-name,OK,2,0,
02/pricing-analytics-vehicle-affordability-1000-payment,OK,1,0,
02/redefining-oem-strategy,OK,5,0,
02/redefining-oem-strategy1,OK,5,1,
02/us-auto-inventory-levels,OK,2,0,
02/us-automakers-optimistic-about-improving-auto-sales,OK,1,1,
02/what-auto-marketers-and-dealers-need-to-know-about-the-dram-shortage,OK,0,1,
02/what-consumers-value-in-human-machine-interface-technologies,OK,2,0,
02/what-is-driving-vehicle-lightweighting,OK,0,0,
03/automotive-cybersecurity-for-software-defined-vehicles,OK,0,0,
03/capacity-pivot-to-energy-storage-systems,OK,3,0,
03/chinese-cars-in-europe-vehicle-fleet-aftermarket,OK,6,1,
03/euro-7-emission-standards-auto-brakes-market,OK,3,0,
03/ev-charging-readiness-and-consumer-insights,OK,4,0,
03/ev-lease-returns-impact,OK,1,0,
03/ev-plans-us-cancellations-launches,OK,5,0,
03/february-2026-new-vehicle-inventory-trends,OK,4,0,
03/india-ups-the-ante-on-the-rare-earth-value-chain,OK,1,0,
03/india-ups-the-ante-on-the-rare-earth-value-chain1,OK,2,1,
03/lamborghini-scraps-bev-launch-plans,OK,1,0,
03/lamborghini-scraps-bev-launch-plans1,OK,1,1,
03/luxury-and-mainstream-vehicle-migration,OK,4,0,
03/the-price-premium-of-hybrid-electric-vehicles,OK,4,0,
03/us-auto-sales,OK,3,0,jcr:description
03/us-commercial-vehicle-registration-trends-2026,OK,1,0,
03/whats-changing-for-north-american-automakers-2026,OK,0,0,
04/are-insurers-and-financial-markets-ready-for-software-defined-vehicles,OK,3,0,
04/are-insurers-and-financial-markets-ready-for-software-defined-vehicles1,OK,1,0,
04/automotive-aftermarket-industry-trends,OK,3,0,
04/automotive-analytics-affordability-loyalty,OK,1,0,
04/automotive-analytics-affordability-loyalty1,OK,1,0,
04/automotive-semiconductor-market-trends,OK,1,0,
04/automotive-semiconductor-market-trends1,OK,3,0,
04/electrification-tests-porsches-brand-identity,OK,3,0,
04/how-the-iaa-could-rescue-the-gigafactory-pipeline,OK,4,0,
04/intelligent-automotive-lighting,OK,2,0,
04/intelligent-automotive-lighting1,OK,2,1,
04/mapping-uber-robotaxi-technology-advancements,OK,2,0,
04/mapping-uber-robotaxi-technology-advancements1,OK,2,1,
04/march-2026-new-vehicle-inventory-trends,OK,1,0,
04/north-america-commercial-vehicle-market,OK,1,0,
04/north-america-commercial-vehicle-market1,OK,2,1,
04/the-future-of-automotive-refrigerants,OK,6,0,
04/the-future-of-automotive-refrigerants1,OK,3,1,
04/the-next-decade-of-automotive-planning,OK,4,0,
04/use-scenario-planning-to-navigate-uncertainty,OK,0,0,
04/what-automotive-marketers-took-away-from-accelerate-west-2026,OK,5,0,
04/why-level-2-plus-is-outpacing-level-3-autonomous-driving,OK,2,0,
05/2026-beijing-auto-show-software-takes-the-wheel,OK,0,0,
05/april-2026-new-vehicle-inventory-trends,OK,2,1,
05/chinese-automakers-manufacturing-localization-europe,OK,1,0,
05/dram-chip-shortage-oem-strategy-2026,OK,0,1,
05/electric-vehicle-owners-migrating-to-gasoline-vehicles,OK,1,0,
05/feesync-for-the-automotive-industry,OK,3,0,jcr:title;jcr:description;imageAlt
05/from-ota-refresh-to-modular-vehicle-renewal,OK,1,0,
05/how-ai-driven-heat-pumps-are-curing-ev-winter-range-anxiety,OK,1,0,
05/nissan-new-vision-product-lineup,OK,2,0,
05/preparing-insurers-for-the-rise-in-sdvs,OK,5,0,
05/six-in-ten-electric-truck-households-defect-to-another-brand,OK,3,0,
05/us-hybrid-registrations-jumped-in-march-2026,OK,2,0,
06/how-artificial-intelligence-is-reshaping-vehicle-repair,OK,1,0,
06/iran-war-lithium-ion-battery-supply-chain,OK,2,0,
