CSV Value,Property,Slug,Resolution,AEM Tag Path,Times Used
Short-form article,contentFormat,short-form-article,RESOLVED,mobility-global:system-and-structural-tags/content-formats/written-formats/short-form-article,425
Analysis and reports,insightsThoughtLeaderContentType,analysis-and-reports,RESOLVED,mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/analysis-and-reports,406
Automotive OEMs,industrySector,automotive-oems,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-oems,379
Planning solutions,pillars,planning-solutions,RESOLVED,mobility-global:pillars/planning-solutions,363
Market news and updates,insightsThoughtLeaderContentType,market-news-and-updates,RESOLVED,mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/market-news-and-updates,249
Automotive industry forecast and analysis,theme,automotive-industry-forecast-and-analysis,RESOLVED,mobility-global:insights-and-intelligence/topic/industry-benchmarks/automotive-industry-forecast-and-analysis,149
Market analyst,audienceRole,market-analyst,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/marketing-and-commercial-roles/market-analyst,147
OEM strategist,audienceRole,oem-strategist,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/oem-strategist,118
Sales solutions,pillars,sales-solutions,RESOLVED,mobility-global:pillars/sales-solutions,113
Automotive suppliers and supply chain,industrySector,automotive-suppliers-and-supply-chain,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-suppliers-and-supply-chain,106
North America,marketRegion,north-america,RESOLVED,mobility-global:contextual-variables/market-context/market-sales-region/north-america,103
United States,marketCountry,united-states,RESOLVED,mobility-global:contextual-variables/market-context/market-country/united-states,98
North America,marketSalesRegion,north-america,RESOLVED,mobility-global:contextual-variables/market-context/market-sales-region/north-america,95
Product planner,audienceRole,product-planner,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/product-planner,86
Automotive industry forecast and analysis,topic,automotive-industry-forecast-and-analysis,RESOLVED,mobility-global:insights-and-intelligence/topic/industry-benchmarks/automotive-industry-forecast-and-analysis,84
Automotive consumer trends,theme,automotive-consumer-trends,RESOLVED,mobility-global:insights-and-intelligence/theme/automotive-consumer-trends,78
Electric vehicle industry,theme,electric-vehicle-industry,RESOLVED,mobility-global:insights-and-intelligence/theme/electric-vehicles,68
Government / policy maker,audienceRole,government-/-policy-maker,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/regulatory-risk-and-policy-roles/government-or-policy-maker,65
Supply chain analyst,audienceRole,supply-chain-analyst,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/supply-chain-analyst,61
Automotive dealers and retailers,industrySector,automotive-dealers-and-retailers,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/automotive-dealers-and-retailers,61
Automotive supply chain,theme,automotive-supply-chain,RESOLVED,mobility-global:insights-and-intelligence/theme/automotive-supply-chain,57
Technical specialists,audienceRole,technical-specialists,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/technical-specialists,56
Policy,regulatoryContext,policy,RESOLVED,mobility-global:contextual-variables/regulatory-and-operating-context/regulatory-context/policy,54
Dealer / retailer,audienceRole,dealer-/-retailer,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/retail-dealer-aftermarket-roles/dealer-or-retailer,53
Dealer and retail trends,topic,dealer-and-retail-trends,RESOLVED,mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/dealer-and-retail-trends,49
Future of mobility,theme,future-of-mobility,RESOLVED,mobility-global:insights-and-intelligence/theme/future-of-mobility,46
Data and forecasts,insightsThoughtLeaderContentType,data-and-forecasts,RESOLVED,mobility-global:insights-and-intelligence/insight-and-thought-leader-content-type/data-and-forecasts,44
Competitive landscape,topic,competitive-landscape,RESOLVED,mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/competitive-landscape,40
Automotive tariffs,theme,automotive-tariffs,RESOLVED,mobility-global:insights-and-intelligence/theme/automotive-tariffs,38
Automotive supply chain disruption and resilience,topic,automotive-supply-chain-disruption-and-resilience,RESOLVED,mobility-global:insights-and-intelligence/topic/supply-chain-and-manufacturing/automotive-supply-chain-disruption-and-resilience,38
Automotive tariffs and trade policy,topic,automotive-tariffs-and-trade-policy,RESOLVED,mobility-global:insights-and-intelligence/topic/macro-economic-drivers/automotive-tariffs-and-trade-policy,38
EV adoption,topic,ev-adoption,RESOLVED,mobility-global:insights-and-intelligence/topic/electrification/ev-adoption,36
Light vehicles,vehicleTypeSegment,light-vehicles,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/vehicle-type-or-segment/light-vehicles,34
Pricing trends,topic,pricing-trends,RESOLVED,mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/pricing-trends,32
Supply chain resilience,theme,supply-chain-resilience,RESOLVED,mobility-global:insights-and-intelligence/theme/supply-chain-resilience,31
Downloadable asset,assetAttributes,downloadable-asset,RESOLVED,mobility-global:system-and-structural-tags/asset-attributes-structural-attributes-or-delivery-mechanisms/downloadable-asset,29
Fleet management and leasing,industrySector,fleet-management-and-leasing,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/industry-or-sector/fleet-management-and-leasing,29
Competitive intelligence,audienceRole,competitive-intelligence,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/competitive-intelligence,28
Market volatility trends,topic,market-volatility-trends,RESOLVED,mobility-global:insights-and-intelligence/topic/market-themes-or-analytical-topics/market-volatility-trends,28
Report / whitepaper (PDF),contentFormat,report-/-whitepaper-pdf,RESOLVED,mobility-global:system-and-structural-tags/content-formats/written-formats/report-or-whitepaper-pdf,27
Loyalty,productFamily,loyalty,RESOLVED,mobility-global:products-and-platforms/product-families/loyalty,26
Autonomous vehicles and ADAS,topic,autonomous-vehicles-and-adas,RESOLVED,mobility-global:insights-and-intelligence/topic/technology-and-innovation/autonomous-vehicles-and-adas,26
Regulations and compliance,topic,regulations-and-compliance,RESOLVED,mobility-global:insights-and-intelligence/topic/risk-safety-and-compliance/regulations-and-compliance,26
Procurement,audienceRole,procurement,RESOLVED,mobility-global:contextual-variables/segmentation-and-user-context/audience-role/oem-and-supplier-roles/procurement,25
Software-defined vehicles,theme,software-defined-vehicles,RESOLVED,mobility-global:insights-and-intelligence/theme/software-defined-vehicles,25
