Full URL,Page Type / AEM Template,Taxonomy: Pillar,Taxonomy: Need states,Taxonomy: Product families,Taxonomy: Product capabilities,Taxonomy: Platforms,Taxonomy: Services and advisory,Taxonomy: Insight and thought leader content type,Taxonomy: Topic,Taxonomy: Theme,Taxonomy: Regulatory and operating context,Taxonomy: Vehicle type/segment,Taxonomy: Industry/Sector,Taxonomy: Audience role,Taxonomy: Workflow stage,Taxonomy: Content formats,Taxonomy: Asset attributes,Taxonomy: Campaign type,Taxonomy: Brand/ data source,Taxonomy: Market - sales region,Taxonomy: Market - region,Taxonomy: Market - Country
https://www.marketscan.com/blog/building-dealer-profitability-through-pricing-transparency/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.marketscan.com/blog/data-analytics/driving-decisions-leveraging-data-for-strategic-automotive-rebates-and-incentives/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,,,,
https://www.marketscan.com/blog/easy-onboarding-of-dealership-tool-brings-endless-opportunities/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.marketscan.com/blog/hot-topics-transparency-and-accuracy-remain-essential-as-dealerships-face-high-inventory/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.marketscan.com/blog/how-lenders-can-sell-down-2024-models-in-a-buyers-market/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Leasing / financial services|/Dealer / retailer,,/Short-form article,,,,,,
https://www.marketscan.com/blog/incentive-spending-in-a-changing-industry-with-scott-cauvel/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive industry forecast and analysis,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,,,,
https://www.marketscan.com/blog/incentive-strategy-best-informed-by-one-data-source/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive industry forecast and analysis,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/keeping-dealerships-strong-amidst-auto-industry-tariffs/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends |Automotive tariffs,/Policy,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/leasing-effective-tool-address-customer-affordability-concerns/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends|Consumer behavior insights,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer|/Leasing / financial services,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/nada-show-2025-recap-helping-dealers-accelerate-their-sales/,Blog,Sales solutions,,,,,,/Events and webinars|/Analysis and reports,Dealer and retail trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/navigating-the-affordability-crisis-accelerating-industry-performance-with-precision-and-scale/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Pricing trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/need-for-speed-cut-transaction-times-to-grow-dealership-profit/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/rev-up-your-sales-how-precision-data-transforms-auto-retail/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/software-providers-enable-transparent-and-effective-dealership-operations/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,North America,United States
https://www.marketscan.com/blog/the-us-auto-market-oems-and-captive-lenders-face-new-challenges/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,,Automotive industry forecast and analysis,,,/Automotive OEMs|/Automotive dealers and retailers,/OEM strategist|/Dealer / retailer|/Leasing / financial services,,/Short-form article,,,Market Scan,North America,North America,United States
https://www.marketscan.com/blog/tried-and-true-data-backs-the-strongest-dealership-software/,Blog,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends,Automotive consumer trends,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,Market Scan,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/a-reckoning-for-ev-battery-raw-materials,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV battery technology,EV battery technology|Supply chain resilience,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Supply chain analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/hyundai-motor-rises-to-3-in-us-market,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape|Market segmentation insights,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/mhcv-medium-and-heavy-commercial-vehicles-powertrain-propulsio,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive parts and components,Automotive industry forecast and analysis,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/10/sp-global-mobility-predicts-strong-monthly-saar-for-october,Blog or Automotive Insights,Planning solutions,,,,,,/Data and forecasts|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/11/ethnic-share-in-us-light-vehicle-market-reaches-a-record-33,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Demographic trends|Market segmentation insights|Automotive consumer demand,Automotive consumer trends,,,/Automotive OEMs,/Market analyst|/Marketing and media agencies,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2022/11/fuel-for-thought-top-5-global-automotive-aftermarket-trends,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive parts and components,Automotive supply chain,,,/Automotive aftermarket,/Aftermarket provider,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/11/new-ev-entries-nibbling-away-at-tesla-ev-share,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape|EV adoption,Electric vehicle industry,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/12/fuel-for-thought-sp-global-mobility-forecasts-836m-units,Blog or Automotive Insights,Planning solutions,,,,,,/Data and forecasts|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/12/plenty-of-22-models-still-on-the-shelf,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Dealer and retail trends|Market volatility trends,Automotive industry forecast and analysis,,,/Automotive dealers and retailers,/Dealer / retailer,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/12/sp-global-mobility-expands-supplier-solutions-with-investment,Blog or Automotive Insights,Planning solutions,,,,,,,,Automotive supply chain,,,,,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/7/android-automotive-is-taking-over-but-what-about-google,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Connected cars and vehicles|Software defined vehicles (SDV),Software-defined vehicles,,,/Automotive OEMs|/Automotive suppliers and supply chain,/Product planner|/Technical specialists,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/7/hyundai-motor-group-rises-to-3-in-us-retail-new-vehicle-market,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,Competitive landscape|Market segmentation insights,Automotive industry forecast and analysis,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,North America,North America,United States
https://www.spglobal.com/automotive-insights/en/blogs/2022/8/ev-insights-part-i,Blog or Automotive Insights,Planning solutions,,,,,,/Analysis and reports|/Market news and updates,EV adoption,Electric vehicle industry,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/8/may-2022-tesla-brand-loyalty-more-than-doubles-yearoveryear,Blog or Automotive Insights,Sales solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Loyalty,Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/9/automotive-inventory,Blog or Automotive Insights,Sales solutions,,,,,,/Analysis and reports|/Market news and updates,Automotive industry forecast and analysis,Automotive industry forecast and analysis,,,/Automotive dealers and retailers|/Automotive OEMs,/Dealer / retailer|/OEM strategist,,/Short-form article,,,,,,
https://www.spglobal.com/automotive-insights/en/blogs/2022/9/tesla-loyalty-and-market-share-soar-but-dominance-of-ev-segmen,Blog or Automotive Insights,Planning solutions,,Loyalty,,,,/Analysis and reports|/Market news and updates,Loyalty,Electric vehicle industry| Automotive consumer trends,,,/Automotive OEMs,/Market analyst,,/Short-form article,,,,,,
